"id1","id2"
"86","76599702","77837380"
"87","81186902","77837380"
"88","78842378","75124936"
"89","81271520","82357822"
"90","77839048","82357822"
"91","83700182","81138240"
"92","83700182","79512630"
"93","83700182","83587674"
"94","79512630","83587674"
"95","71824378","81225870"
"96","81274894","81225870"
"97","80576132","75498296"
"98","78429144","75498296"
"99","82913726","82136500"
"100","77036836","71607426"
"101","71607426","71830278"
"102","80713388","82876878"
"103","70245468","78983136"
"104","79983590","78983136"
"105","82445758","80588330"
"106","82445758","82186180"
"107","81490390","82186180"
"108","82445758","80887764"
"109","81490390","80887764"
"110","77707900","79553840"
"111","79746552","79553840"
"112","77707900","79633490"
"113","79633832","78363676"
"114","79633832","79992316"
"115","78363676","79992316"
"116","79633832","77600002"
"117","80994984","82019750"
"118","82114888","80865344"
"119","81266136","80865344"
"120","79158676","71126688"
"121","79158676","78330548"
"122","81307160","81486258"
"123","76499792","81486258"
"124","82643976","77818930"
"125","79666270","81266332"
"126","77932370","81266332"
"127","80865344","81266332"
"128","81305622","82667430"
"129","78330548","82063534"
"130","80955410","72581582"
"131","79258342","72581582"
"132","74292538","81259852"
"133","79012768","78017408"
"134","80840636","78017408"
"135","76616186","75580972"
"136","77078586","80926906"
"137","72369458","79815416"
"138","77078586","79815416"
"139","71177120","81726864"
"140","81971672","81726864"
"141","76065440","77020428"
"142","76185088","79287624"
"143","81490390","79287624"
"144","72011048","77557472"
"145","77818930","77557472"
"146","78017408","77557472"
"147","70057404","81256498"
"148","80713388","77924626"
"149","80610436","72814886"
"150","81581312","83852600"
"151","79937680","83852600"
"152","80199624","83852600"
"153","79308862","79767630"
"154","79553840","79767630"
"155","83891222","82032484"
"156","70050682","82032484"
"157","83891222","82268394"
"158","74292538","64600800"
"159","83102048","82698976"
"160","76301792","99873062"
"161","76189160","99873062"
"162","80994984","99873062"
"163","80738138","79334202"
"164","75498296","79334202"
"165","82201970","83587496"
"166","78977718","71606458"
"167","81378754","78791436"
"168","79711466","71951886"
"169","79495294","71951886"
"170","81104036","71951886"
"171","79758206","81525394"
"172","82348230","81525394"
"173","80588330","81525394"
"174","80588330","78368494"
"175","80109370","82688738"
"176","80961682","81194330"
"177","78875556","76449640"
"178","73966114","78715670"
"179","76053412","78715670"
"180","83891222","78715670"
"181","81508114","82283234"
"182","78977718","77195608"
"183","82610310","81706444"
"184","69611228","80010746"
"185","80724288","80827028"
"186","81791598","78332222"
"187","77070198","74895322"
"188","76424586","78687044"
"189","79925860","78687044"
"190","77735038","71590586"
"191","80452940","81249614"
"192","79171778","76217506"
"193","81562142","82464826"
"194","80123616","82464826"
"195","81251412","78871558"
"196","80576132","80039868"
"197","80541080","76833440"
"198","76392392","80015814"
"199","78712304","80015814"
"200","75580972","80015814"
"201","80909484","80658514"
"202","78040942","75640168"
"203","80333424","82081520"
"204","69572502","82081520"
"205","81394242","79730030"
"206","70057404","72023702"
"207","82644598","82905726"
"208","81378754","80187344"
"209","78791436","80187344"
"210","77388042","79660954"
"211","76449640","79660954"
"212","81305622","81949084"
"213","99873062","82605778"
"214","82872686","82605778"
"215","71955052","75501534"
"216","76966084","75501534"
"217","77842342","81573262"
"218","80010746","81573262"
"219","77837380","82256604"
"220","79971560","82256604"
"221","79897072","71814320"
"222","80434400","76755436"
"223","79269510","77993376"
"224","77301524","77993376"
"225","82273198","77993376"
"226","78737748","77993376"
"227","81305622","77993376"
"228","80731326","77993376"
"229","80724288","77993376"
"230","81462904","79724438"
"231","78875556","78147220"
"232","80849404","80700960"
"233","78977718","82987154"
"234","80961682","81667152"
"235","82445350","81667152"
"236","69933278","81382396"
"237","79614074","81382396"
"238","77036836","81382396"
"239","80713388","81382396"
"240","79343928","75408966"
"241","80119732","80574990"
"242","76077102","80574990"
"243","82656656","80574990"
"244","79005718","80574990"
"245","79666270","79883004"
"246","81629906","78145180"
"247","75469150","78145180"
"248","71976942","78145180"
"249","79147102","78145180"
"250","79269510","71713106"
"251","80724288","82320696"
"252","77993376","75540644"
"253","78759982","82542892"
"254","83021724","82542892"
